"1","2910814024041","9/2/2003","Aleea Toma, Bistrita, 413599","0767 327 189","10337"
"2","4870804517535","4/4/2009","Aleea Dinu, Tunari, 144828","0772 899 857","10532"
"3","2630620091795","5/19/1954","Intrarea Preda Nr. 79, Tulcea, 800253","0260 609 240","11328"
"4","4300730163299","1/31/1983","Aleea Tatiana Nistor Nr. 391, Gilau, 913082","0739 641 808","11411"
"5","8880508440455","4/9/2005","Intrarea Popa, Giarmata, 318361","0766 645 196","11949"
"6","8350109282751","6/20/2012","Strada Nistor, Rucar, 382280","0751 994 293","12404"
"7","3431030209041","1/19/1956","Bulevardul Stoica, Zalau, 669317","0265 552 971","13490"
"8","5891025104407","10/7/1925","Aleea Nistor, Adjud, 437310","0258 579 982","15316"
"9","4460603186681","4/11/2002","Soseaua Stancu, Techirghiol, 987107","0752 867 421","16226"
"10","4550927309919","2/23/2011","Aleea Georgiana Barbu, Balotesti, 262906","0761 285 600","16271"
"11","2990521079733","7/2/1915","Drumul Nistor, Cornetu, 105497","0746 376 863","16309"
"12","3330410251218","1/20/1921","Soseaua Ludovica Ene, Timisoara, 607268","0265 882 789","16979"
"13","1740628225701","5/8/2015","Soseaua Dima, Glina, 227225","0711 410 945","18024"
"14","2250617175906","6/13/1969","Soseaua Benone Pop, Vicovu de Jos, 552803","0784 973 051","18263"
"15","5820413312464","3/19/2024","Intrarea Toma, Harlau, 761875","0780 795 089","18973"
"16","2030225079657","10/9/2001","Bulevardul Petruța Nemeș Nr. 59, Pascani, 585588","0244 774 516","19303"
"17","4350625371932","6/18/1943","Soseaua Marin Nr. 65, Covasna, 147414","0240 369 978","19601"
"18","6580117266254","4/21/1933","Aleea Aanei Nr. 17, Huedin, 950667","0738 503 100","19838"
"19","7281012058506","3/11/1937","Intrarea Georgescu Nr. 284, Aiud, 427225","0264 496 286","19961"
"20","6270926293415","7/7/2002","Intrarea Dinu, Timisoara, 522455","0747 627 171","19962"
"21","1671021513454","11/6/1916","Intrarea Aanei, Videle, 467800","0252 315 079","10001"
"22","7840731016093","7/5/1920","Soseaua Popescu Nr. 719, Toflea, 577781","0755 023 140","10002"
"23","3570902113238","4/17/1945","Intrarea Cristobal Ioniță, Constanta, 491306","0258 232 986","10003"
"24","3561113518237","11/25/1925","Drumul Nistor Nr. 61 Bl. 20  Sc. 46 Ap. 459, Buftea, 929926","0758 198 210","10004"
"25","7870212379764","1/10/1985","Aleea Georgescu Nr. 94, Campulung, 399039","0730 565 683","10005"
"26","5771025250311","1/9/1968","Drumul Dobre Nr. 507 Bl. 83  Sc. 34 Ap. 135, Gugesti, 490556","0242 234 575","10006"
"27","1181131238177","9/12/1941","Soseaua Gheorghiu Nr. 66, Moreni, 846780","0259 267 384","10007"
"28","8720126451425","3/8/1998","Drumul Dima, Greci, 975645","0727 795 337","10008"
"29","5730410089961","7/10/1930","Soseaua Dima, Pantelimon, 173420","0244 046 191","10009"
"30","4030524460047","11/6/1936","Strada Ernest Dobre Nr. 673, Cobadin, 750114","0755 753 525","10010"
"31","4540429261998","2/26/1926","Aleea Stan, Domnesti, 140869","0743 305 078","10011"
"32","3290509061991","5/7/2001","Aleea Veronica Nemeș, Copsa Mica, 272783","0754 192 682","10012"
"33","7141002330549","5/29/1971","Bulevardul Rafael Ionescu Nr. 85, Bragadiru, 259514","0255 721 114","10013"
"34","7190904372638","1/6/1925","Intrarea Florea, Bacau, 379991","0253 083 874","10014"
"35","3610310432440","7/10/1926","Intrarea Suciu, Intorsura Buzaului, 755719","0768 824 545","10015"
"36","6070223423548","4/8/1938","Strada Eftimie Nr. 74, Gherla, 525911","0766 877 839","10016"
"37","5030708054566","4/24/1919","Strada Manole Nr. 682 Bl. 12  Sc. 91 Ap. 702, Magurele, 763840","0771 770 652","10017"
"38","4260811323668","10/4/2018","Intrarea Aristița Manole, Vladimirescu, 941978","0760 269 166","10018"
"39","3000130336352","9/19/1968","Intrarea Dumitrescu, Tasnad, 387134","0754 901 813","10019"
"40","2830826044969","2/11/1965","Drumul Nistor Nr. 440 Bl. 94  Sc. 72 Ap. 339, Draganesti-Olt, 959968","0247 832 150","10020"
"41","5160118243085","9/5/2020","Aleea Ionelia Stan Nr. 62 Bl. 61  Sc. 73 Ap. 884, Alesd, 700032","0784 525 075","10021"
"42","1341206279013","6/3/1962","Strada Vanesa Cristea, Intorsura Buzaului, 332767","0769 958 939","10022"
"43","2650323364462","3/22/2006","Soseaua Oprea, Sinaia, 502457","0743 822 365","10023"
