"10337","Dobre","Noemi"
"10532","Florea","Ilie"
"11328","Nemeș","Nidia"
"11411","Popa","Ernest"
"11949","Dima","Toma"
"12404","Stănescu","Valter"
"13490","Albu","Mina"
"15316","Popa","Mirona"
"16226","Dima","Larisa"
"16271","Ababei","Octaviu"
"16309","Aanei","Miruna"
"16979","Eftimie","Tudora"
"18024","Nemeș","Agripina"
"18263","Oprea","Nicuță"
"18973","Nemeș","Manole"
"19303","Toma","Teona"
"19601","Albu","Rica"
"19838","Popa","Decebal"
"19961","Florea","Laurenția"
"19962","Pușcașu","Panagachie"
"10001","Dinu","Geanina"
"10002","Diaconescu","Ortansa"
"10003","Georgescu","Jan"
"10004","Tudor","Romeo"
"10005","Tomescu","Stanca"
"10006","Stănescu","Georgeta"
"10007","Manole","Nicolaie"
"10008","Pușcașu","Horia"
"10009","Dima","Magdalena"
"10010","Stoica","Marioara"
"10011","Mazilescu","Leonard"
"10012","Popescu","Grațian"
"10013","Georgescu","Vlădelina"
"10014","Diaconu","Paulica"
"10015","Oprea","Aurica"
"10016","Nemeș","Gregorian"
"10017","Toma","Roxana"
"10018","Oprea","Lucrețiu"
"10019","Ardelean","Marcela"
"10020","Cristea","Simi"
"10021","Stancu","Albertina"
"10022","Cristea","Gianina"
"10023","Dima","Astrid"
"10024","Stan","Leordean"
"10025","Dima","Doina"
"10026","Tomescu","Pleșu"
"10027","Eftimie","Monalisa"
"10028","Mocanu","Speranța"
"10029","Nemeș","Luana"
"10030","Gheorghiu","Robertina"
"10031","Toma","Ortansa"
"10032","Eftimie","Anda"
"10033","Dobre","Iuliu"
"10034","Oprea","Roxana"
"10035","Stan","Amedeu"
"10036","Popescu","Ina"
"10037","Eftimie","Andrian"
"10038","Diaconu","Valeriu"
"10039","Pușcașu","Rica"
"10040","Voinea","Sandu"
"10041","Dinu","Romulus"
"10042","Barbu","Gențiana"
"10043","Ababei","Georgia"
"10044","Ioniță","Andrada"
"10045","Stan","Salomea"
"10046","Diaconescu","Traian"
"10047","Stan","Sorina"
"10048","Mocanu","Anton"
"10049","Pușcașu","Zeno"
"10050","Nistor","Adelin"
"10051","Gheorghiu","Augustina"
"10052","Ardelean","Steluța"
"10053","Aanei","Henrieta"
"10054","Mocanu","Ionela"
"10055","Nistor","Ladislau"
"10056","Nistor","Aneta"
"10057","Nemeș","Octaviu"
"10058","Ene","Clarisa"
"10059","Niță","Cazimir"
"10060","Eftimie","Gelu"
"10061","Stancu","Ana"
"10062","Ene","Amedeu"
"10063","Mazilescu","Julieta"
"10064","Diaconescu","Natașa"
"10065","Stancu","Pleșu"
"10066","Nistor","Eftimia"
"10067","Niță","Măriuca"
"10068","Popa","Lidia"
"10069","Georgescu","Relu"
"10070","Aanei","Titus"
"10071","Dinu","Florentin"
"10072","Tudor","Axenia"
"10073","Toma","Dorel"
"10074","Tomescu","Mitică"
"10075","Gheorghiu","Clementina"
"10076","Tudor","Marinela"
"10077","Preda","Matilda"
"10078","Popescu","Călin"
"10079","Nemeș","Rafael"
"10080","Tudor","Maxim"
"10081","Toma","Șerban"
"10082","Georgescu","Cerasela"
"10083","Dochioiu","Răzvan"
"10084","Georgescu","Romanița"
"10085","Eftimie","Sever"
"10086","Georgescu","Didina"
"10087","Nistor","Alis"
"10088","Dobre","Natașa"
"10089","Ene","Iuliana"
"10090","Dumitrescu","Mihaela"
"10091","Suciu","Lidia"
"10092","Stancu","Carmina"
"10093","Albu","Severina"
"10094","Stănescu","Rica"
"10095","Preda","Lică"
"10096","Barbu","Carina"
"10097","Eftimie","Aneta"
"10098","Eftimie","Angel"
