"iban","currency","balance","user_id"
"RO68QVRC6728526176755265","MWK","38259376419","5286"
"RO50URQZ8388884971611811","JEP","5177263500","5393"
"RO07XTMR0598119177733847","IRR","32156438396","5585"
"RO61VLRG5405301793325076","BAM","57011019411","6123"
"RO98OMHM9057884052425855","GTQ","27205219850","6576"
"RO11UWDT2686618456151546","ZAR","11195403384","7194"
"RO28MHJQ2416109314734586","VUV","21987634662","7328"
"RO28PZDH4773715610824523","LYD","64628586284","7697"
"RO69JPSE9875503387528004","IDR","21829276150","7868"
"RO37JAJN6364230376028675","UZS","81362881417","8225"
"RO06MMZS2540960399768972","TOP","81084471965","8468"
"RO39UJDH2108741612773186","CRC","45282642203","8539"
"RO30BVCJ1437176637193527","JEP","37077947298","8782"
"RO20DEMZ0076487756138930","GTQ","58518023275","8819"
"RO22EZEA0602534269405373","KWD","74691455116","8851"
"RO35AXBX1915472320077019","JMD","99137763282","9026"
"RO48QFMO6082577039151141","CDF","51416584099","9151"
"RO37SCMW9342833825448906","BRL","24273085562","9233"
"RO53DSPT7515406605728817","YER","41620887920","9425"
"RO11VHWU5048407182283045","ANG","88136967274","9652"
"RO43SGMS9042649959130287","SRD","11911381113","9689"
"RO16HOEK0281406540795907","PKR","1866150900","9998"
"RO14BHNE0277061552048562","GNF","48883774364","9999"
"RO12TCHS3593396050455970","KPW","74104150212","10000"
"RO12HEUR8390110534511371","TRY","61503224491","5001"
"RO94RCUY4095449505998835","MAD","86617589364","5002"
"RO79BTOB2131764633759502","DOP","4050540674","5003"
"RO79HDNP5004129727758527","XDR","12411116711","5004"
"RO43GCEY5331234805467636","MGA","46553211317","5005"
"RO41UQMG3060142809693272","CZK","23903717142","5006"
"RO44HOLF6405277728641460","KGS","61545459334","5007"
"RO11SXKJ1337054525944771","RUB","66258433485","5008"
"RO15KSCG5569178474839296","BYR","32305252315","5009"
"RO06PUAY4848156350147015","TOP","56210958132","5010"
"RO39YVMA4910592286858235","SVC","80653715430","5011"
"RO14IYPW2207693322186856","IMP","6605495397","5012"
"RO29ZAJM4128399741854799","SRD","20540109000","5013"
"RO54RTFN4280850635849098","ERN","32376815629","5014"
"RO13DJFG1023811628076173","XPF","53488272890","5015"
"RO93UXNC2880423903686758","VEF","65431811018","5016"
"RO63FVPZ0854980256036236","HNL","96877105901","5017"
"RO80CMJI6011313161743245","UZS","99080031533","5018"
"RO35VHZJ0918122727497404","ARS","6176288060","5019"
"RO33PGDR9608781609130668","DJF","52117330053","5020"
"RO06LQPK1597142369068117","AZN","37508293824","5021"
"RO33WCRY3858789616039105","PHP","86674041497","5022"
"RO76FCAB0149696564235494","KHR","8848255473","5023"
"RO08WFOG7571425909477812","TRY","87494651778","5024"
"RO49ALYJ8837724843612200","UZS","23795271625","5025"
"RO96GDGN8095203783981431","NZD","68358287382","5026"
"RO43ACTY5978960778360967","EUR","47988159801","5027"
